,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-04-02 16:06:37,2026-04-02 15:36:48,72141,4865.0,2976,248,11315,537.0,6191.0,37144,2026-03-23 12:10:58,1.5.1,4239061.0,51695.0,58.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,708,41,True,1,
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-04-02 18:14:59,2026-04-01 18:23:52,16378,4040.0,818,80,4136,487.0,1554.0,18080,2026-04-02 07:40:39,0.5.3,8922.0,1274.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",79.0,79.0,238,37,True,1,
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-04-01 09:58:51,2026-04-01 09:58:51,13007,158.0,18114,2487,7634,2207.0,4719.0,73632,2026-03-24 12:27:25,8.6.2,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,899,33,False,1,
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-04-02 16:30:12,2026-04-02 16:21:47,31583,426.0,1448,136,38,,,9306,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3,
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1259,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",68.0,68.0,14,18,False,1,
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-03-26 12:57:52,2026-03-26 10:33:33,146,4.0,41,13,7,19.0,19.0,263,2026-03-26 12:57:31,5.3.1,523155.0,6458.0,44.0,C and C++ database for objects and structs.,,,5,17,True,3,1.0
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-03-22 08:25:02,2025-09-08 09:41:50,393,,23,6,10,9.0,11.0,180,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,17,True,3,
