,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2025-12-24 13:32:55,2025-12-24 13:32:55,66675,4307.0,2727,239,10243,497.0,5952.0,34987,2025-12-09 10:20:40,1.4.3,3481509.0,44634.0,55.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,647,41,True,1
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2025-12-25 13:01:56,2025-12-25 13:01:56,12071,2530.0,658,74,2981,324.0,994.0,15971,2025-11-02 11:08:41,0.3.2,11653.0,1294.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",36.0,36.0,183,34,True,1
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2025-12-25 12:21:13,2025-12-25 12:14:24,12848,119.0,17967,2498,7370,2196.0,4684.0,72253,2025-11-18 15:06:37,8.4.0,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,879,33,False,1
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2025-12-24 18:18:11,2025-12-24 18:12:08,31126,647.0,1358,132,34,,,8799,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1254,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",68.0,68.0,14,18,True,1
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2025-11-27 15:46:01,2025-11-27 14:44:46,142,16.0,40,13,7,19.0,19.0,253,2025-11-27 15:45:26,5.0.0,458723.0,5957.0,40.0,C and C++ database for objects and structs.,,,5,18,True,1
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2025-02-13 11:31:29,2024-05-29 06:57:56,359,,21,4,9,8.0,9.0,168,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,16,False,3
