,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2025-10-30 14:03:25,2025-10-30 14:03:16,63404,3083.0,2602,237,9758,509.0,5814.0,33805,2025-10-07 10:29:57,1.4.1,3023268.0,39779.0,53.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,610,40,True,1,
1,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2025-10-30 07:46:45,2025-10-30 07:46:45,12786,93.0,17864,2499,7263,2181.0,4657.0,71501,2025-10-03 06:22:38,8.2.2,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,874,33,False,1,
2,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2025-10-30 16:33:22,2025-10-30 16:16:12,10655,3655.0,582,63,2644,316.0,864.0,14422,2025-10-30 17:03:21,0.3.0,9666.0,690.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",23.0,23.0,166,33,True,1,True
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2025-10-30 17:30:11,2025-10-30 17:23:17,30644,415.0,1290,135,30,,,8531,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3,
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,50,19,8,16.0,33.0,1248,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",68.0,68.0,11,18,True,1,
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2025-10-04 07:45:06,2025-10-03 11:59:45,132,6.0,40,13,7,19.0,19.0,234,2025-07-29 09:12:36,4.3.1,426831.0,5691.0,39.0,C and C++ database for objects and structs.,,,5,17,True,3,
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2025-02-13 11:31:29,2024-05-29 06:57:56,359,,20,4,9,8.0,9.0,162,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,11,15,False,3,
