,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-02-26 16:13:56,2026-02-26 16:13:56,69776,4027.0,2871,247,10833,535.0,6037.0,36338,2026-01-26 12:08:09,1.4.4,3966298.0,49578.0,56.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,684,41,True,1,
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-02-26 18:06:11,2026-02-26 16:13:28,15317,4115.0,746,77,3772,441.0,1369.0,17539,2026-01-30 11:04:49,0.4.4,15691.0,2241.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",62.0,62.0,213,37,True,1,1.0
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-02-26 12:20:40,2026-02-26 12:20:40,12950,130.0,18061,2490,7510,2205.0,4704.0,73179,2026-02-23 10:00:40,7.2.13,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,891,33,False,1,
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-02-26 16:30:12,2026-02-26 16:19:21,31359,364.0,1401,134,36,,,9095,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3,
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1257,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",68.0,68.0,14,18,True,1,
5,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-01-07 16:31:15,2025-09-08 09:41:50,393,,22,6,10,9.0,11.0,177,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,17,True,3,
6,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-01-20 09:52:57,2026-01-19 16:13:36,143,1.0,41,13,7,19.0,19.0,259,2026-01-20 09:48:46,5.1.0,496379.0,6283.0,41.0,C and C++ database for objects and structs.,,,5,16,True,3,-2.0
