,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2025-11-06 14:57:35,2025-11-06 09:24:23,63865,3368.0,2619,237,9841,510.0,5831.0,33961,2025-10-07 10:29:57,1.4.1,3080767.0,40009.0,53.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,619,40,True,1
1,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2025-11-06 12:05:03,2025-11-06 12:05:03,12795,98.0,17874,2497,7279,2182.0,4663.0,71581,2025-11-02 13:46:10,8.2.3,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,875,33,False,1
2,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2025-11-06 06:33:20,2025-11-06 06:33:13,10699,3322.0,596,65,2676,315.0,886.0,14578,2025-11-02 11:08:41,0.3.2,10198.0,849.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",27.0,27.0,168,33,True,1
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2025-11-06 17:30:12,2025-11-06 13:19:50,30686,432.0,1296,135,30,,,8567,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1250,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",68.0,68.0,11,18,True,1
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2025-10-04 07:45:06,2025-10-03 11:59:45,132,6.0,40,13,7,19.0,19.0,234,2025-07-29 09:12:36,4.3.1,431132.0,5672.0,39.0,C and C++ database for objects and structs.,,,5,17,True,3
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2025-02-13 11:31:29,2024-05-29 06:57:56,359,,20,4,9,8.0,9.0,162,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,11,15,False,3
