,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-04-16 16:50:31,2026-04-16 16:48:19,73061,5035.0,3067,267,11549,520.0,6274.0,37502,2026-04-13 10:46:51,1.5.2,4383544.0,53457.0,59.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,717,41,True,1,
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-04-16 17:19:19,2026-04-16 16:03:48,16701,3688.0,832,79,4255,520.0,1595.0,18256,2026-04-02 07:40:39,0.5.3,7624.0,1089.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",90.0,90.0,243,35,True,1,-1.0
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-04-16 13:50:50,2026-04-16 13:50:49,13033,154.0,18138,2486,7688,2221.0,4723.0,73868,2026-03-24 12:27:25,8.6.2,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,905,33,False,1,
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-04-16 17:18:18,2026-04-16 17:07:23,31685,469.0,1462,135,38,,,9391,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3,
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1261,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",69.0,69.0,14,18,False,1,
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-03-26 12:57:52,2026-03-26 10:33:33,146,4.0,42,13,7,19.0,19.0,264,2026-03-26 12:57:31,5.3.1,535488.0,6610.0,44.0,C and C++ database for objects and structs.,,,5,17,True,3,
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-03-22 08:25:02,2025-09-08 09:41:50,393,,23,6,10,9.0,11.0,182,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,17,True,3,
