,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2025-08-13 14:26:15,2025-08-13 14:26:15,60413,2709.0,2419,233,9154,456.0,5650.0,31606,2025-07-08 10:39:09,1.3.2,2393992.0,32351.0,51.0,DuckDB is an analytical in-process SQL database management system.,31032.0,31032.0,575,44,True,1
1,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2025-08-14 03:34:36,2025-08-14 03:34:36,12703,105.0,17735,2518,7119,2147.0,4625.0,70455,2025-08-04 11:14:00,8.2.0,,,95.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,859,33,False,1
2,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2025-08-13 20:06:10,2025-08-13 19:59:37,30268,284.0,1222,134,29,,,8197,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,1
3,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,50,20,7,16.0,34.0,1241,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",66.0,66.0,11,19,True,1
4,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2025-07-29 09:13:13,2025-07-28 15:04:26,126,1.0,40,14,7,18.0,20.0,231,2025-07-29 09:12:36,4.3.1,387410.0,5306.0,38.0,C and C++ database for objects and structs.,,,5,16,True,3
5,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2025-02-13 11:31:29,2024-05-29 06:57:56,359,,21,5,9,8.0,9.0,149,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,11,16,False,3
