,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-04-09 18:20:11,2026-04-09 18:19:54,72536,4969.0,3042,262,11455,549.0,6220.0,37309,2026-03-23 12:10:58,1.5.1,4306820.0,52522.0,58.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,709,41,True,1,
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-04-09 17:47:26,2026-04-09 13:22:01,16469,3822.0,824,79,4197,506.0,1576.0,18165,2026-04-02 07:40:39,0.5.3,10196.0,1456.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",86.0,86.0,240,36,True,1,-1.0
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-04-09 14:58:37,2026-04-09 14:58:37,13018,152.0,18129,2486,7660,2217.0,4721.0,73731,2026-03-24 12:27:25,8.6.2,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,903,33,False,1,
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-04-09 16:18:12,2026-04-09 16:16:39,31603,412.0,1451,136,38,,,9353,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3,
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1260,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",69.0,69.0,14,18,False,1,
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-03-26 12:57:52,2026-03-26 10:33:33,146,4.0,42,13,7,19.0,19.0,263,2026-03-26 12:57:31,5.3.1,528980.0,6530.0,44.0,C and C++ database for objects and structs.,,,5,17,True,3,
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-03-22 08:25:02,2025-09-08 09:41:50,393,,23,6,10,9.0,11.0,180,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,17,True,3,
