,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2025-08-28 17:59:20,2025-08-28 17:59:20,61005,2990.0,2459,234,9262,462.0,5677.0,32359,2025-07-08 10:39:09,1.3.2,2500372.0,33788.0,51.0,DuckDB is an analytical in-process SQL database management system.,31198.0,31198.0,584,44,True,1,
1,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2025-08-28 13:17:55,2025-08-28 13:17:55,12715,95.0,17770,2519,7141,2158.0,4631.0,70651,2025-08-18 15:42:48,8.2.1,,,96.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,860,33,False,1,
2,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2025-08-28 17:18:11,2025-08-28 17:10:44,30296,275.0,1231,133,29,,,8252,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,1,
3,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,20,7,17.0,34.0,1242,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",67.0,67.0,11,19,True,1,
4,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2025-07-29 09:13:13,2025-07-28 15:04:26,126,1.0,39,14,7,18.0,20.0,230,2025-07-29 09:12:36,4.3.1,392957.0,5382.0,38.0,C and C++ database for objects and structs.,,,5,16,True,3,
5,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2025-02-13 11:31:29,2024-05-29 06:57:56,359,,20,5,9,8.0,9.0,149,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,11,15,False,3,-1.0
