,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2025-10-02 15:32:35,2025-10-02 14:47:02,62274,2939.0,2545,235,9556,486.0,5753.0,33171,2025-09-16 10:17:31,1.4.0,2793764.0,36760.0,52.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,598,40,True,1,
1,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2025-09-30 20:20:14,2025-09-30 17:06:17,12734,74.0,17822,2519,7201,2172.0,4645.0,71074,2025-08-18 15:42:48,8.2.1,,,96.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,866,33,False,1,
2,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2025-10-02 16:18:11,2025-10-02 14:48:27,30508,362.0,1262,138,30,,,8413,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,1,
3,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,50,20,8,16.0,33.0,1247,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",68.0,68.0,11,18,True,1,
4,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2025-09-30 19:34:17,2025-09-30 19:22:15,130,5.0,39,14,7,19.0,19.0,230,2025-07-29 09:12:36,4.3.1,412243.0,5496.0,39.0,C and C++ database for objects and structs.,,,5,17,True,3,1.0
5,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2025-02-13 11:31:29,2024-05-29 06:57:56,359,,20,5,9,8.0,9.0,161,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,11,15,False,3,
