,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-03-12 16:58:32,2026-03-12 16:08:55,70659,4039.0,2918,244,11011,544.0,6073.0,36605,2026-03-09 12:40:59,1.5.0,4075382.0,50313.0,57.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,689,41,True,1
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-03-12 17:36:34,2026-03-12 17:36:34,15824,4155.0,782,77,3942,462.0,1454.0,17764,2026-03-10 13:13:13,0.5.1,11774.0,1471.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",69.0,69.0,225,37,True,1
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-03-12 09:10:43,2026-03-12 09:10:43,12966,135.0,18092,2490,7557,2210.0,4708.0,73433,2026-02-23 10:00:40,7.2.13,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,893,33,False,1
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-03-12 08:42:12,2026-03-12 08:33:14,31470,374.0,1416,135,36,,,9163,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1258,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",68.0,68.0,14,18,True,1
5,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-01-07 16:31:15,2025-09-08 09:41:50,393,,22,6,10,9.0,11.0,178,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,17,True,3
6,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-03-09 18:20:45,2026-03-06 19:02:55,144,2.0,41,13,7,19.0,19.0,261,2026-03-09 13:24:19,5.2.0,509054.0,6363.0,42.0,C and C++ database for objects and structs.,,,5,16,True,3
