,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-05-28 17:22:28,2026-05-28 16:37:37,76605,6399.0,3188,264,12169,451.0,6485.0,38481,2026-05-20 11:50:43,1.5.3,5003648.0,60284.0,60.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,745,42,True,1,1.0
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-05-28 18:11:28,2026-05-28 18:11:28,17663,2199.0,979,79,4803,583.0,1756.0,18983,2026-05-22 09:34:48,0.6.1,12570.0,1795.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",140.0,140.0,266,36,True,1,
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-05-28 01:20:16,2026-05-28 01:20:15,13106,155.0,18215,2488,7862,2226.0,4752.0,74571,2026-05-25 09:29:25,8.8.0,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,919,33,False,1,
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-05-28 11:30:14,2026-05-28 11:29:05,31891,519.0,1499,139,42,,,9708,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3,
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,17.0,33.0,1268,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",70.0,70.0,14,18,False,1,
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-05-05 10:39:30,2026-05-05 08:32:28,147,4.0,42,13,7,19.0,19.0,273,2026-05-05 10:39:03,5.3.2,587845.0,7168.0,45.0,C and C++ database for objects and structs.,,,5,17,True,3,
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-03-22 08:25:02,2025-09-08 09:41:50,393,,24,6,12,8.0,12.0,182,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,17,True,3,
