,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2025-12-18 12:23:45,2025-12-18 12:16:56,66469,4392.0,2711,239,10204,502.0,5939.0,34839,2025-12-09 10:20:40,1.4.3,3438927.0,44088.0,55.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,642,41,True,1,
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2025-12-18 18:05:23,2025-12-18 18:05:23,11822,2627.0,640,71,2935,333.0,972.0,15791,2025-11-02 11:08:41,0.3.2,11846.0,1316.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",34.0,34.0,179,34,True,1,
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2025-12-18 11:51:02,2025-12-18 11:51:02,12840,111.0,17959,2497,7359,2195.0,4679.0,72181,2025-11-18 15:06:37,8.4.0,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,879,33,False,1,
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2025-12-18 16:18:12,2025-12-18 16:14:38,31113,748.0,1348,133,34,,,8768,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3,
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1254,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",68.0,68.0,14,18,True,1,
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2025-11-27 15:46:01,2025-11-27 14:44:46,142,16.0,40,13,7,19.0,19.0,252,2025-11-27 15:45:26,5.0.0,455908.0,5920.0,40.0,C and C++ database for objects and structs.,,,5,18,True,1,
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2025-02-13 11:31:29,2024-05-29 06:57:56,359,,21,4,9,8.0,9.0,167,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,16,False,3,1.0
