,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-04-30 16:42:23,2026-04-30 16:42:06,74334,5484.0,3107,265,11774,446.0,6392.0,37847,2026-04-13 10:46:51,1.5.2,4552085.0,55513.0,59.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,729,41,True,1
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-04-30 17:22:13,2026-04-30 15:14:18,17117,3167.0,851,80,4409,525.0,1637.0,18424,2026-04-02 07:40:39,0.5.3,10148.0,1449.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",139.0,139.0,251,36,True,1
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-04-30 13:38:25,2026-04-30 13:38:25,13054,139.0,18163,2485,7759,2228.0,4730.0,74083,2026-03-24 12:27:25,8.6.2,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,909,33,False,1
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-04-30 18:30:12,2026-04-30 18:23:58,31748,467.0,1473,137,40,,,9477,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1263,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",69.0,69.0,14,18,False,1
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-03-26 12:57:52,2026-03-26 10:33:33,146,3.0,42,13,7,19.0,19.0,268,2026-03-26 12:57:31,5.3.1,550003.0,6790.0,44.0,C and C++ database for objects and structs.,,,5,17,True,3
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-03-22 08:25:02,2025-09-08 09:41:50,393,,23,6,10,9.0,11.0,183,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,17,True,3
