,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-05-07 14:50:46,2026-05-07 14:38:27,74742,5496.0,3126,265,11859,443.0,6410.0,37985,2026-04-13 10:46:51,1.5.2,4634415.0,55836.0,59.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,729,41,True,1
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-05-07 16:48:02,2026-05-07 16:48:02,17242,3148.0,868,80,4490,522.0,1667.0,18619,2026-04-02 07:40:39,0.5.3,10995.0,1374.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",139.0,139.0,253,36,True,1
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-05-06 01:55:14,2026-05-06 01:55:14,13058,139.0,18170,2486,7784,2228.0,4730.0,74190,2026-05-05 13:37:08,8.6.3,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,912,33,False,1
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-05-07 15:06:12,2026-05-07 15:04:30,31780,481.0,1482,138,40,,,9557,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1263,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",69.0,69.0,14,18,False,1
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-05-05 10:39:30,2026-05-05 08:32:28,147,4.0,42,13,7,19.0,19.0,270,2026-05-05 10:39:03,5.3.2,558296.0,6808.0,45.0,C and C++ database for objects and structs.,,,5,17,True,3
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-03-22 08:25:02,2025-09-08 09:41:50,393,,23,6,10,9.0,11.0,183,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,17,True,3
