,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-06-04 16:56:16,2026-06-04 16:28:36,77384,6832.0,3205,267,12277,436.0,6511.0,38604,2026-05-20 11:50:43,1.5.3,5146664.0,61269.0,60.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,753,42,True,1,
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-06-04 17:15:26,2026-06-04 08:21:27,17735,2150.0,993,79,4849,609.0,1767.0,19059,2026-05-22 09:34:48,0.6.1,14655.0,1831.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",140.0,140.0,269,36,True,1,
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-06-04 16:36:44,2026-06-04 10:58:01,13118,159.0,18238,2487,7880,2229.0,4755.0,74689,2026-06-04 16:36:44,8.6.4,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,921,33,False,1,
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-06-04 17:06:20,2026-06-04 16:56:11,31938,495.0,1506,139,42,,,9743,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3,
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,17.0,33.0,1268,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",70.0,70.0,14,18,False,1,
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-05-05 10:39:30,2026-05-05 08:32:28,147,3.0,43,13,7,19.0,19.0,273,2026-05-05 10:39:03,5.3.2,600144.0,7230.0,45.0,C and C++ database for objects and structs.,,,5,17,True,3,
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-03-22 08:25:02,2025-09-08 09:41:50,393,,24,6,12,8.0,12.0,182,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,16,True,3,-1.0
