,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-07-09 15:19:26,2026-07-09 14:57:51,79830,6736.0,3308,266,12781,450.0,6627.0,39253,2026-06-17 10:45:53,1.5.4,5814299.0,68403.0,62.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,781,42,True,1
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-07-09 16:43:32,2026-07-09 16:43:17,18359,1833.0,1142,93,5159,658.0,1835.0,22716,2026-05-22 09:34:48,0.6.1,26218.0,3277.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",140.0,140.0,278,37,True,1
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-07-09 04:55:40,2026-07-09 04:55:40,13166,147.0,18299,2487,7972,2248.0,4773.0,75355,2026-06-04 16:36:44,8.6.4,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",24.0,24.0,929,33,False,1
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-07-09 17:18:14,2026-07-09 16:34:26,32127,499.0,1548,142,47,,,10015,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,17.0,33.0,1272,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",70.0,70.0,14,18,False,1
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-06-05 15:53:30,2026-05-05 08:32:28,147,1.0,43,13,7,19.0,19.0,274,2026-05-05 10:39:03,5.3.2,644000.0,7666.0,45.0,C and C++ database for objects and structs.,,,5,16,True,3
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-03-22 08:25:02,2025-09-08 09:41:50,393,,24,5,12,8.0,12.0,184,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,16,True,3
