,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2025-05-08 14:38:29,2025-05-08 14:38:28,57105,2886.0,2205,213,8488,353.0,5458.0,28983,2025-04-08 08:44:15,1.2.2,1763496.0,24837.0,48.0,DuckDB is an analytical in-process SQL database management system.,28067.0,28067.0,541,43,True,1,True
1,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2025-05-08 07:59:12,2025-05-08 07:59:12,12583,206.0,17569,2531,6951,2111.0,4582.0,69104,2025-05-02 11:20:31,8.0.0,,,84.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,836,34,False,1,
2,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,15.0,49,20,7,15.0,34.0,1218,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",63.0,63.0,11,21,True,1,
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2025-05-08 16:30:08,2025-05-08 16:18:18,29958,410.0,1157,131,26,,,7778,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,20,False,1,
4,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2025-03-04 19:28:15,2025-03-04 11:33:36,124,1.0,37,14,7,18.0,20.0,222,2025-03-04 19:30:19,4.2.0,349950.0,4999.0,36.0,C and C++ database for objects and structs.,,,5,16,True,3,
5,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2025-02-13 11:31:29,2024-05-29 06:57:56,359,,18,5,9,7.0,9.0,144,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,64.0,64.0,11,14,True,3,
