,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,github_release_downloads,monthly_downloads
0,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,2009-03-21 22:32:25,2025-05-02 11:20:31,2025-05-02 08:59:19,12570,223.0,17557,2531,6943,2112.0,4574.0,68996,2025-05-02 11:20:31,8.0.0,84.0,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values..",21.0,21.0,835,34,False,1,,,
1,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,15.0,49,20,7,15.0,34.0,1218,2025-03-12 13:34:38,1.9.0,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",63.0,63.0,11,21,True,1,Apache-2.0,,
2,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,2019-03-18 12:21:01,2025-05-03 15:18:08,2025-05-03 15:17:21,29951,421.0,1148,131,26,,,7755,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,20,False,1,,,
3,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,2018-08-29 19:34:44,2025-03-04 19:28:15,2025-03-04 11:33:36,124,1.0,37,14,7,18.0,20.0,222,2025-03-04 19:30:19,4.2.0,36.0,C and C++ database for objects and structs.,,,5,16,True,3,Apache-2.0,348119.0,4973.0
4,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,2019-05-08 07:10:46,2025-02-13 11:31:29,2024-05-29 06:57:56,359,,18,5,9,7.0,9.0,144,2024-06-03 06:37:18,4.0.0,7.0,Superfast on-device object & vector database for Python.,64.0,64.0,11,14,True,3,Apache-2.0,,
