,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,DuckDB,duckdb/duckdb,[],analytical,https://github.com/duckdb/duckdb,https://github.com/duckdb/duckdb,MIT,2018-06-26 15:04:45,2026-02-05 17:54:08,2026-02-05 08:39:07,68280,3739.0,2825,245,10619,520.0,6016.0,35903,2026-01-26 12:08:09,1.4.4,3787364.0,47342.0,56.0,DuckDB is an analytical in-process SQL database management system.,51.0,51.0,668,40,True,1,-1.0
1,Turso,tursodatabase/turso,[],relational,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-02-05 17:07:35,2026-02-05 16:09:05,14041,3284.0,711,79,3409,457.0,1115.0,17216,2026-01-30 11:04:49,0.4.4,15700.0,1962.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",57.0,57.0,195,36,True,1,
2,Redis,redis/redis,[],key-value,https://github.com/redis/redis,https://github.com/redis/redis,,2009-03-21 22:32:25,2026-02-04 18:29:23,2026-02-04 18:29:23,12919,121.0,18025,2492,7464,2203.0,4699.0,72781,2025-11-18 15:06:37,8.4.0,,,100.0,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most..",21.0,21.0,887,33,False,1,
3,SQLite,sqlite/sqlite,[],relational,https://github.com/sqlite/sqlite,https://github.com/sqlite/sqlite,,2019-03-18 12:21:01,2026-02-05 13:06:12,2026-02-05 13:03:04,31293,536.0,1393,132,34,,,8982,,,,,,Official Git mirror of the SQLite source tree.,2.0,2.0,37,21,False,3,
4,ObjectBox Go,objectbox/objectbox-go,[],object,https://github.com/objectbox/objectbox-go,https://github.com/objectbox/objectbox-go,Apache-2.0,2018-11-28 13:32:47,2025-03-12 13:34:35,2025-03-12 13:18:10,871,,49,19,8,16.0,33.0,1258,2025-03-12 13:34:38,1.9.0,,,16.0,"Embedded Go Database, the fast alternative to SQLite, gorm, etc.",68.0,68.0,14,18,True,1,
5,ObjectBox C,objectbox/objectbox-c,[],object,https://github.com/objectbox/objectbox-c,https://github.com/objectbox/objectbox-c,Apache-2.0,2018-08-29 19:34:44,2026-01-20 09:52:57,2026-01-19 16:13:36,143,10.0,41,13,7,19.0,19.0,257,2026-01-20 09:48:46,5.1.0,481497.0,6094.0,41.0,C and C++ database for objects and structs.,,,5,18,True,1,
6,ObjectBox Python,objectbox/objectbox-python,[],object,https://github.com/objectbox/objectbox-python,https://github.com/objectbox/objectbox-python,Apache-2.0,2019-05-08 07:10:46,2026-01-07 16:31:15,2025-09-08 09:41:50,393,,22,6,10,8.0,11.0,176,2024-06-03 06:37:18,4.0.0,,,7.0,Superfast on-device object & vector database for Python.,73.0,73.0,13,17,True,3,
